sid,name,season,basin,start_time,end_time,n_fixes,peak_vmax_kt,min_pmin_hpa,peak_category,made_landfall,had_ri,mean_label_spread_kt,featured_slug
2022254N20085,Unnamed,2022,land,2022-09-11 00:00:00,2022-09-12 00:00:00,9,25.0,998.0,D,True,0.0,,
2022230N18095,Unnamed,2022,land,2022-08-17 12:00:00,2022-08-23 00:00:00,45,35.34,992.0,CS,True,0.0,7.056363636363638,
2022226N22088,Unnamed,2022,land,2022-08-14 03:00:00,2022-08-16 06:00:00,18,25.0,994.0,D,True,0.0,,
2022224N22067,Unnamed,2022,arabian_sea,2022-08-11 18:00:00,2022-08-14 03:00:00,20,27.900000000000002,989.0,D,False,0.0,9.166000000000002,
2022221N21086,Unnamed,2022,land,2022-08-09 03:00:00,2022-08-09 18:00:00,6,25.0,990.0,D,True,,,
2022197N22069,Unnamed,2022,arabian_sea,2022-07-16 03:00:00,2022-07-17 18:00:00,14,25.0,992.0,D,False,0.0,,
2022140N16097,Unnamed,2022,land,2022-05-20 03:00:00,2022-05-20 18:00:00,6,25.0,998.0,D,True,,,
2022126N07095,Asani,2022,bay_of_bengal,2022-05-05 21:00:00,2022-05-13 06:00:00,60,55.0,982.0,SCS,True,0.0,6.925897435897436,
2022079N10093,Unnamed,2022,bay_of_bengal,2022-03-20 00:00:00,2022-03-23 00:00:00,25,30.0,1000.0,DD,True,0.0,,
2022062N06085,Unnamed,2022,bay_of_bengal,2022-03-03 00:00:00,2022-03-06 18:00:00,31,30.0,1002.0,DD,False,0.0,2.381200000000001,
2021335N08096,Jawad,2021,bay_of_bengal,2021-11-30 18:00:00,2021-12-05 21:00:00,42,40.0,1000.0,CS,False,0.0,4.112592592592591,
2021322N11082,Unnamed,2021,bay_of_bengal,2021-11-18 03:00:00,2021-11-19 03:00:00,9,25.0,1000.0,D,True,0.0,,
2021312N07090,Unnamed,2021,bay_of_bengal,2021-11-09 09:00:00,2021-11-11 18:00:00,20,25.0,1000.0,D,True,0.0,4.361818181818184,
2021280N14068,Unnamed,2021,arabian_sea,2021-10-07 03:00:00,2021-10-08 18:00:00,14,25.0,1002.0,D,False,0.0,,
2021267N18094,Gulab:Shaheen-Gu,2021,arabian_sea,2021-09-23 18:00:00,2021-10-04 06:00:00,80,60.0,984.0,SCS,True,1.0,4.188923076923078,
2021264N13119,Dianmu,2021,land,2021-09-23 09:00:00,2021-09-24 09:00:00,9,35.0,1000.0,CS,True,0.0,,
2021256N20087,Unnamed,2021,land,2021-09-12 12:00:00,2021-09-14 18:00:00,19,30.0,990.0,DD,True,0.0,,
2021143N15090,Yaas,2021,bay_of_bengal,2021-05-23 00:00:00,2021-05-27 18:00:00,39,75.0,970.0,VSCS,True,0.0,6.494848484848482,
2021133N10071,Tauktae,2021,arabian_sea,2021-05-13 06:00:00,2021-05-19 06:00:00,49,100.0,950.0,ESCS,True,1.0,11.476250000000004,
2021092N11096,Unnamed,2021,bay_of_bengal,2021-04-02 00:00:00,2021-04-03 03:00:00,10,25.0,1000.0,D,False,0.0,,
2020353N06129,Krovanh,2020,bay_of_bengal,2020-12-22 12:00:00,2020-12-25 09:00:00,24,27.900000000000002,1004.0,D,True,0.0,,
2020335N06090,Burevi,2020,bay_of_bengal,2020-11-29 18:00:00,2020-12-05 06:00:00,45,45.0,996.0,CS,True,0.0,3.3033333333333337,
2020327N08086,Nivar,2020,bay_of_bengal,2020-11-22 06:00:00,2020-11-27 12:00:00,43,65.0,982.0,VSCS,True,0.0,4.1253125,
2020326N11063,Gati,2020,arabian_sea,2020-11-20 12:00:00,2020-11-24 09:00:00,32,75.0,976.0,VSCS,True,1.0,10.285,
2020296N19087,Unnamed,2020,bay_of_bengal,2020-10-22 03:00:00,2020-10-23 18:00:00,14,25.0,998.0,D,True,0.0,,
2020291N18069,Unnamed,2020,arabian_sea,2020-10-17 03:00:00,2020-10-18 18:00:00,14,25.0,1003.0,D,False,0.0,,
2020285N15087,Unnamed,2020,bay_of_bengal,2020-10-11 00:00:00,2020-10-14 06:00:00,27,30.0,996.0,DD,True,0.0,,
2020153N13072,Nisarga,2020,arabian_sea,2020-05-31 18:00:00,2020-06-04 06:00:00,29,60.0,984.0,SCS,True,0.0,9.653333333333334,
2020150N17054,Unnamed,2020,land,2020-05-29 09:00:00,2020-05-31 18:00:00,20,25.0,1000.0,D,True,0.0,,
2020136N10088,Amphan,2020,bay_of_bengal,2020-05-15 06:00:00,2020-05-21 12:00:00,51,130.0,920.0,SuCS,True,1.0,9.234651162790698,amphan
2019342N09062,Unnamed,2019,arabian_sea,2019-12-08 09:00:00,2019-12-10 03:00:00,15,30.0,1000.0,DD,False,0.0,,
2019337N11072,Unnamed,2019,arabian_sea,2019-12-02 15:00:00,2019-12-06 03:00:00,29,41.85,996.0,CS,False,0.0,8.87692307692308,
2019335N05058,Pawan,2019,arabian_sea,2019-12-01 09:00:00,2019-12-07 18:00:00,52,40.0,998.0,CS,True,0.0,3.110750000000001,
2019302N11118,Bulbul:Matmo,2019,bay_of_bengal,2019-10-30 15:00:00,2019-11-11 00:00:00,73,75.0,976.0,VSCS,True,1.0,7.641224489795921,
2019301N05081,Maha,2019,arabian_sea,2019-10-28 21:00:00,2019-11-09 09:00:00,93,100.0,956.0,ESCS,False,1.0,5.2801470588235295,
2019296N15066,Kyaar:Kyarr,2019,arabian_sea,2019-10-22 18:00:00,2019-11-03 03:00:00,92,130.0,922.0,SuCS,False,1.0,5.333376623376623,
2019273N23070,Unnamed,2019,land,2019-09-29 12:00:00,2019-10-01 00:00:00,13,25.0,1002.0,D,True,0.0,,
2019264N19071,Hikaa:Hikka,2019,arabian_sea,2019-09-20 18:00:00,2019-09-26 06:00:00,45,75.0,978.0,VSCS,True,1.0,6.61769230769231,
2019218N21088,Unnamed,2019,land,2019-08-06 03:00:00,2019-08-09 06:00:00,26,30.0,988.0,DD,True,0.0,,
2019160N11073,Vayu,2019,arabian_sea,2019-06-08 21:00:00,2019-06-18 06:00:00,76,80.0,970.0,VSCS,True,1.0,6.169836065573773,
2019116N02090,Fani,2019,bay_of_bengal,2019-04-25 18:00:00,2019-05-04 12:00:00,71,115.0,932.0,ESCS,True,1.0,5.350000000000002,fani
2018365N08115,Pabuk,2018,bay_of_bengal,2019-01-01 09:00:00,2019-01-07 18:00:00,52,46.5,996.0,CS,True,0.0,10.561304347826086,
2018347N07089,Phethai,2018,bay_of_bengal,2018-12-13 00:00:00,2018-12-17 18:00:00,39,55.0,992.0,SCS,True,0.0,2.9702857142857133,
2018314N12093,Gaja,2018,bay_of_bengal,2018-11-10 03:00:00,2018-11-19 12:00:00,76,70.0,976.0,VSCS,True,0.0,7.605633802816901,
2018281N14088,Titli,2018,bay_of_bengal,2018-10-08 00:00:00,2018-10-12 21:00:00,40,80.0,972.0,VSCS,True,1.0,7.157352941176473,
2018279N11069,Luban,2018,arabian_sea,2018-10-05 18:00:00,2018-10-15 00:00:00,75,75.0,978.0,VSCS,True,1.0,5.386764705882352,
2018263N17089,Daye,2018,land,2018-09-19 15:00:00,2018-09-22 06:00:00,22,35.0,992.0,CS,True,0.0,2.169333333333333,
2018249N22088,Unnamed,2018,land,2018-09-06 00:00:00,2018-09-07 03:00:00,10,30.0,990.0,DD,True,0.0,,
2018227N20086,Unnamed,2018,land,2018-08-15 03:00:00,2018-08-17 00:00:00,16,25.0,993.0,D,True,0.0,,
2018219N21088,Unnamed,2018,land,2018-08-07 09:00:00,2018-08-08 00:00:00,6,25.0,992.0,D,True,,,
2018202N21088,Unnamed,2018,land,2018-07-21 03:00:00,2018-07-23 00:00:00,16,30.0,988.0,DD,True,0.0,,
2018161N22092,Unnamed,2018,bay_of_bengal,2018-06-10 06:00:00,2018-06-10 18:00:00,5,25.0,988.0,D,True,,,
2018148N17090,Unnamed,2018,bay_of_bengal,2018-05-28 00:00:00,2018-05-30 03:00:00,18,35.34,992.0,CS,True,0.0,7.3400000000000025,
2018141N08059,Mekunu,2018,arabian_sea,2018-05-21 06:00:00,2018-05-27 06:00:00,49,95.0,960.0,ESCS,True,1.0,5.448444444444444,
2018136N11054,Sagar,2018,arabian_sea,2018-05-15 18:00:00,2018-05-20 06:00:00,37,45.0,994.0,CS,True,0.0,8.338965517241382,
2018072N05076,Unnamed,2018,arabian_sea,2018-03-13 03:00:00,2018-03-14 18:00:00,14,25.0,1006.0,D,False,0.0,,
2017340N09089,Unnamed,2017,bay_of_bengal,2017-12-06 03:00:00,2017-12-10 06:00:00,34,30.0,1000.0,DD,False,0.0,8.85666666666667,
2017333N06082,Ockhi,2017,arabian_sea,2017-11-28 18:00:00,2017-12-05 18:00:00,57,85.0,976.0,VSCS,True,1.0,4.8438461538461555,
2017319N15083,Unnamed,2017,bay_of_bengal,2017-11-15 03:00:00,2017-11-17 03:00:00,17,25.0,1001.0,D,False,0.0,,
2017307N07102,Unnamed,2017,bay_of_bengal,2017-11-04 03:00:00,2017-11-08 00:00:00,31,23.25,1004.0,D,True,0.0,,
2017292N17087,Unnamed,2017,bay_of_bengal,2017-10-19 00:00:00,2017-10-19 12:00:00,5,25.0,998.0,D,False,,,
2017282N22088,Unnamed,2017,land,2017-10-09 00:00:00,2017-10-10 06:00:00,11,30.0,996.0,DD,True,0.0,,
2017232N19130,Hato,2017,land,2017-08-23 15:00:00,2017-08-24 12:00:00,8,49.29,984.0,SCS,True,,,
2017207N24085,Unnamed,2017,land,2017-07-26 00:00:00,2017-07-27 00:00:00,9,25.0,993.0,D,True,0.0,,
2017199N19086,Unnamed,2017,land,2017-07-18 00:00:00,2017-07-19 00:00:00,9,25.0,992.0,D,True,0.0,,
2017163N20090,Unnamed,2017,land,2017-06-11 12:00:00,2017-06-12 18:00:00,11,30.0,988.0,DD,True,0.0,,
2017147N14087,Mora,2017,bay_of_bengal,2017-05-27 06:00:00,2017-05-30 18:00:00,29,60.0,978.0,SCS,True,0.0,6.627391304347829,
